,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
674,500108010,YouBike2.0_港華五號公園,16,0,內湖區,2023-05-27 12:40:10,環山路二段81號西北側,16,1
675,500108011,YouBike2.0_大湖國小,25,2,內湖區,2023-05-27 13:40:10,大湖山莊街/大湖山莊街176巷(東南側),21,1
677,500108013,YouBike2.0_東湖路113巷95弄,10,0,內湖區,2023-05-27 10:23:04,東湖路113巷95弄13號西側,9,1
679,500108015,YouBike2.0_文德三號公園(江南街71巷16弄),15,2,內湖區,2023-05-27 13:42:14,瑞光路271號東南側,13,1
682,500108019,YouBike2.0_星雲街47號,15,1,內湖區,2023-05-27 13:37:04,星雲街47號南側,14,1
684,500108021,YouBike2.0_捷運西湖站(2號出口),12,0,內湖區,2023-05-27 13:08:04,內湖路一段291號(對面),12,1
689,500108026,YouBike2.0_碧山公園,31,0,內湖區,2023-05-27 13:27:04,內湖路三段60巷28號東側,31,1
693,500108030,YouBike2.0_文德二號公園(南側),13,0,內湖區,2023-05-27 12:38:04,陽光街與陽光街68巷102弄口,13,1
695,500108032,YouBike2.0_瑞陽公園,12,0,內湖區,2023-05-27 13:38:04,文德路22巷6號(對面),12,1
699,500108036,YouBike2.0_潭美國小(南京舊宗路口),16,0,內湖區,2023-05-27 12:19:03,行善路179號南側,16,1
700,500108037,YouBike2.0_新明路343號,10,2,內湖區,2023-05-27 13:07:14,新明路341號北側,8,1
701,500108038,YouBike2.0_週美里活動廣場,17,3,內湖區,2023-05-27 13:46:15,潭美街139號對側,14,1
704,500108041,YouBike2.0_安康路32巷24弄,21,1,內湖區,2023-05-27 13:04:17,安康路32巷24弄22號,20,1
709,500108047,YouBike2.0_瑞光公共住宅(瑞光路),18,0,內湖區,2023-05-27 12:23:04,瑞光路160號,18,1
710,500108048,YouBike2.0_民權東路六段15巷,17,1,內湖區,2023-05-27 01:11:15,民權東路六段15巷29號,16,1
711,500108049,YouBike2.0_扶輪親恩公園,17,1,內湖區,2023-05-27 13:43:04,民權東路六段30號,15,1
715,500108054,YouBike2.0_三軍總醫院,14,3,內湖區,2023-05-27 13:41:16,成功路二段424號(對面),11,1
716,500108055,YouBike2.0_福華商場,20,1,內湖區,2023-05-27 13:45:05,民權東路六段/民權東路六段180巷(西南側),19,1
720,500108059,YouBike2.0_金湖路347巷125弄口,15,0,內湖區,2023-05-27 13:41:04,金湖路347巷125弄1號(對面),15,1
722,500108061,YouBike2.0_碧湖公園(內湖路二段103巷),19,2,內湖區,2023-05-27 13:45:16,內湖路二段103巷76號(對面),17,1
723,500108062,YouBike2.0_貿七社區,17,3,內湖區,2023-05-27 13:39:14,內湖路二段179巷48弄17號(旁),14,1
726,500108065,YouBike2.0_康寧金湖路口,14,0,內湖區,2023-05-27 12:48:04,康寧路一段273號(對面),14,1
727,500108066,YouBike2.0_康寧路一段156巷20弄口,17,1,內湖區,2023-05-27 13:21:18,康寧路一段156巷/康寧路一段156巷20弄(西側),16,1
735,500108074,YouBike2.0_康寧公園(北側),20,1,內湖區,2023-05-27 13:38:14,康寧路三段60號南側,19,1
745,500108085,YouBike2.0_金龍公園,15,0,內湖區,2023-05-27 13:23:04,金龍路112巷口(金龍公園側),15,1
746,500108086,YouBike2.0_星雲街138巷1弄口,15,3,內湖區,2023-05-27 13:14:18,星雲街138巷18號,11,1
747,500108087,YouBike2.0_東湖一號公園,10,0,內湖區,2023-05-27 12:50:08,康寧路三段189巷163弄13號東南側,10,1
748,500108088,YouBike2.0_東湖二號公園,15,1,內湖區,2023-05-27 13:46:15,康寧路三段99巷39弄70號東南側,13,1
